,BIST100_Value_mean,BIST100_Volume_mean,GNP(TRY),Inflation(%),Deposit_Interest(TRY),Deposit_Interest(USD),Deposit_Interest(EUR),VIX,Google_Trends,Annualized_Volatility,Volatility_Level
2012-09-30,674.8800078125,439943400.0,427747163.225216,1.03,8.5175,2.705,2.425,15.729999542236328,0,0.05836743740486365,0
2012-10-31,693.6545,424600550.0,432960559.630197,1.96,7.9925,2.56,2.3325,18.600000381469727,0,0.04865155474430369,0
2012-11-30,716.3164559659091,530165545.45454544,432960559.630197,0.38,7.644,2.4979999999999998,2.21,15.869999885559082,0,0.04240854093875656,0
2012-12-31,769.1981919642857,538909523.8095238,432960559.630197,0.38,7.505000000000001,2.3674999999999997,2.135,18.020000457763672,0,0.03311862621787862,0
2013-01-31,822.9827237215909,726756909.0909091,388660855.28729,1.65,7.17,2.225,2.1075,14.279999732971191,0,0.04039092377520369,0
2013-02-28,783.50404296875,556058400.0,388660855.28729,0.3,6.8675,2.105,1.9874999999999998,15.510000228881836,0,0.05103666735612476,0
2013-03-31,827.6195758928571,457890000.0,388660855.28729,0.66,6.548,1.936,1.902,12.699999809265137,0,0.042073905292933644,0
2013-04-30,842.9111830357142,470392952.38095236,444833478.532052,0.42,6.4075,1.9175,1.8775,13.520000457763672,0,0.04043418916210377,0
2013-05-31,900.9210475852273,567429863.6363636,444833478.532052,0.15,5.946,1.8060000000000003,1.75,16.299999237060547,0,0.05385464108789791,0
2013-06-30,763.11815234375,640452100.0,444833478.532052,0.76,6.1375,1.955,1.8725,16.860000610351562,1,0.1070382948463859,0
2013-07-31,743.5137398097827,551958260.8695652,494782612.901814,0.31,6.945,2.3049999999999997,2.1375,13.449999809265137,0,0.08162512504971035,0
2013-08-31,716.1578371710526,462248000.0,494782612.901814,-0.1,7.562,2.386,2.302,17.010000228881836,1,0.09683477780838384,0
2013-09-30,728.3420461309523,598430571.4285715,494782612.901814,0.77,7.987500000000001,2.48,2.3475,16.600000381469727,0,0.15937904811531514,1
2013-10-31,771.3873263888888,517226222.2222222,495150368.3861061,1.8,7.7775,2.325,2.2725,13.75,0,0.07168361522684322,0
2013-11-30,748.0150037202382,551337952.3809524,495150368.3861061,0.01,7.578,2.156,2.104,13.699999809265137,0,0.07530264244991794,0
2013-12-31,708.7450426136364,630841227.2727273,495150368.3861061,0.46,7.87,2.1925,2.12,13.720000267028809,0,0.13472318867887997,0
2014-01-31,660.0209108664773,672772045.4545455,454056288.027673,1.98,8.196,2.242,2.126,18.40999984741211,1,0.19929534702838242,1
2014-02-28,635.163,561239900.0,454056288.027673,0.43,9.975,2.1325,2.1425,14.0,0,0.10125113716225012,0
2014-03-31,646.4684691220239,558578428.5714285,454056288.027673,1.13,10.615,2.1675,2.1,13.880000114440918,0,0.09742376212484144,0
2014-04-30,726.1979017857143,634349238.0952381,490144355.245421,1.34,10.4325,2.1225,1.9874999999999998,13.40999984741211,0,0.09153359083326791,0
2014-05-31,764.9775,589187600.0,490144355.245421,0.4,9.956,1.938,1.8800000000000001,11.399999618530273,0,0.0713016229263134,0
2014-06-30,790.4442857142858,546242666.6666666,490144355.245421,0.31,9.5825,1.8125,1.7575,11.569999694824219,1,0.08383677910272466,0
2014-07-31,805.35434765625,527605600.0,551348074.869668,0.45,8.915,1.8025,1.7349999999999999,16.950000762939453,0,0.052316908736210165,0
2014-08-31,792.423753720238,559977523.8095238,551348074.869668,0.09,8.526,1.706,1.6620000000000001,12.09000015258789,2,0.10762297316023736,0
2014-09-30,783.3369105113637,549103454.5454545,551348074.869668,0.14,8.595,1.7175,1.5975000000000001,16.309999465942383,2,0.07505373612142993,0
2014-10-31,764.541203125,652689900.0,559349109.509848,1.9,8.758,1.6759999999999997,1.51,14.029999732971191,2,0.084505068355738,0
2014-11-30,812.1588437500001,769954250.0,559349109.509848,0.18,8.912500000000001,1.6275,1.4249999999999998,13.329999923706055,2,0.09539279655858007,0
2014-12-31,841.7695244565217,626995347.826087,559349109.509848,-0.44,9.15,1.7125,1.45,19.200000762939453,2,0.12827304104370402,0
2015-01-31,885.4349962797619,660398619.0476191,500472610.60802,1.1,9.152,1.7579999999999998,1.496,20.969999313354492,2,0.11222737100798152,0
2015-02-28,857.2531914062499,700410450.0,500472610.60802,0.71,9.025,1.77,1.4875,13.34000015258789,2,0.12189359776947145,0
2015-03-31,808.941143465909,700781136.3636364,500472610.60802,1.19,9.2625,1.7875,1.5025,15.289999961853027,2,0.12195742266024133,0
