,BIST100_Value_mean,BIST100_Volume_mean,GNP(TRY),Inflation(%),Deposit_Interest(TRY),Deposit_Interest(USD),Deposit_Interest(EUR),VIX,Google_Trends,Annualized_Volatility,Volatility_Level
2021-03-31,1492.2130498471467,3029977908.695652,1396395793.89607,1.08,16.8125,1.06,0.4125,19.399999618530273,5,0.34238760361639237,1
2021-04-30,1393.2899963378907,2438864225.0,1594424370.32082,1.68,17.784,1.152,0.44000000000000006,18.610000610351562,4,0.13356130580592757,0
2021-05-31,1434.7888929578994,2296325588.888889,1594424370.32082,0.89,17.8925,1.1075,0.44,16.760000228881836,4,0.07534489554124357,0
2021-06-30,1419.7045454545455,2037390886.3636363,1594424370.32082,1.94,17.92,1.0750000000000002,0.42,15.829999923706055,4,0.1495363357650444,0
2021-07-31,1370.9764763327205,1404951741.1764705,1933705077.281209,1.8,17.886000000000003,0.9040000000000001,0.34400000000000003,18.239999771118164,4,0.06373690105740235,0
2021-08-31,1441.4476260230654,1889315014.2857144,1933705077.281209,1.12,17.96,0.7725,0.26,16.479999542236328,4,0.10682152839440945,0
2021-09-30,1425.25908314098,1757677613.6363637,1933705077.281209,1.25,18.04,0.6325000000000001,0.2225,23.139999389648438,4,0.11061487790321646,0
2021-10-31,1434.065008544922,2172522690.0,2331616495.71778,2.39,16.916,0.5660000000000001,0.19,16.260000228881836,5,0.17644612490530093,1
2021-11-30,1682.8772693980825,3833805763.6363635,2331616495.71778,3.51,15.37,0.55,0.1875,27.190000534057617,5,0.38984677096954984,1
2021-12-31,1966.3521728515625,4231015891.304348,2331616495.71778,13.58,16.426,0.62,0.22400000000000003,17.219999313354492,5,1.1627980072193222,1
2022-01-31,2007.585693359375,3299294909.5238094,2519788915.36527,11.1,17.6675,0.6475,0.2625,24.829999923706055,5,0.16090168104561178,1
2022-02-28,2000.1100036621094,2522063485.0,2519788915.36527,4.81,16.7925,0.6975,0.2975,30.149999618530273,5,0.15019455399620282,1
2022-03-31,2104.0478356402855,2872891908.695652,2519788915.36527,5.46,15.625,0.8475,0.3725,20.559999465942383,5,0.11349457054044183,0
2022-04-30,2432.5475957961307,4422439566.666667,3424670276.69559,7.25,15.691999999999998,1.048,0.492,33.400001525878906,5,0.03594043660533784,0
2022-05-31,2435.25,3155974050.0,3424670276.69559,2.98,15.5225,1.18,0.5975,26.190000534057617,5,0.08870266664652589,0
2022-06-30,2541.159102006392,2956978695.4545455,3424670276.69559,4.95,16.259999999999998,1.7850000000000001,0.905,28.709999084472656,5,0.17507555536753558,1
2022-07-31,2475.0722384982637,2461460650.0,4273137800.371359,2.37,17.378,2.42,1.176,21.329999923706055,5,0.05641945038757756,0
2022-08-31,2920.877286044034,5074879763.636364,4273137800.371359,1.46,16.9425,2.575,1.1425,25.8700008392334,5,0.02137590351310227,0
2022-09-30,3322.313620827415,5712334204.545455,4273137800.371359,3.08,15.91,2.9240000000000004,1.088,31.6200008392334,5,0.013012382681261554,0
2022-10-31,3734.9619140625,4422811595.238095,4794178986.104319,3.54,15.6625,2.9,1.0175,25.8799991607666,5,0.005152429917016622,0
2022-11-30,4552.5136829723015,5754994240.909091,4794178986.104319,2.88,16.065,2.69,0.9550000000000001,20.579999923706055,4,0.018550262130247765,0
2022-12-31,5226.66816850142,5421796009.090909,4794178986.104319,1.18,17.186,2.556,0.914,21.670000076293945,4,0.004484712752641838,0
2023-01-31,5249.8681640625,4330850822.727273,4642145958.97198,6.65,17.945,2.4375,0.8125,19.399999618530273,4,0.005000465731443363,0
2023-02-28,4958.706207275391,2857407481.25,4642145958.97198,3.15,19.0875,2.3449999999999998,0.5975,20.700000762939453,4,0.002891974891026071,0
2023-03-31,5143.334791100543,3107138221.7391305,4642145958.97198,2.29,19.746000000000002,2.2560000000000002,0.614,18.700000762939453,4,0.00892292011663844,0
2023-04-30,4969.921026932566,2094954868.4210527,5506173229.15721,2.39,20.9825,1.9024999999999999,0.6325,15.779999732971191,4,0.008293134299651951,0
2023-05-31,4587.8857654389885,2690599852.3809524,5506173229.15721,0.04,23.2775,2.29,0.6725,17.940000534057617,5,0.04372432070115066,0
2023-06-30,5428.352590460527,3203232952.631579,5506173229.15721,3.92,29.926,2.472,0.9719999999999999,13.59000015258789,5,0.33218299071688767,1
2023-07-31,6491.752348400298,4825338023.809524,7696613342.593449,9.49,27.482499999999998,2.76,0.9725,13.630000114440918,5,0.07890176316551441,0
2023-08-31,7600.08183149858,5301637018.181818,7696613342.593449,9.09,24.9775,2.8,1.0525,13.569999694824219,5,0.09151697514704907,0
2023-09-30,8105.604724702381,4660401657.142858,7696613342.593449,4.75,33.418,2.596,0.9359999999999999,17.520000457763672,5,0.019293115842923945,0
2023-10-31,8025.41816850142,3867916540.909091,8431374842.16751,3.43,37.5075,2.8375,1.1175,18.139999389648438,5,0.018094391279414073,0
2023-11-30,7846.422718394886,2519111672.7272725,8431374842.16751,3.28,40.8,2.855,1.235,12.920000076293945,5,0.010315333783234824,0
2023-12-31,7733.024926757813,2304444970.0,8431374842.16751,2.93,45.638,2.7960000000000003,1.316,12.449999809265137,4,0.015952719079892902,0
